=== Starting Seq2Seq PPO Training (mBART-50) ===
Sat Aug 29 11:41:28 UTC 2026
================================================================================
Starting Seq2Seq (mBART-50) PPO Training at 20260829_114132
Base Model: facebook/mbart-large-50
SFT Checkpoint: results/models/sft
Output Directory: results/models/ppo/seq2seq
KL Beta: 0.05 | Clip Eps: 0.2 | Style/Sem Weights: 0.5/0.5
================================================================================
Device: cuda
Loading Tokenizer...
Loading Base Seq2Seq LM from facebook/mbart-large-50...
Loading and merging SFT LoRA adapter from results/models/sft...
[ERFOLG] SFT-Adapter erfolgreich in Basisgewichte integriert!
Initializing LoRA adapters for Seq2Seq PPO Policy...
Initializing Composite Reward Evaluator...
Loading Reward Model vocabulary from: data/vocabs/mixup_vocab.json
Loading BiLSTM Regressor weights from: results/models/bilstm_mixup_regression.pt
Loading SBERT model for semantic evaluation: jinaai/jina-embeddings-v2-base-de
Loading source prompts from: data/analysis/corpus_master.json
Loaded 801 valid source prompts for Seq2Seq PPO training.

--- Epoch 1/3 ---

Epoch 1:   0%|          | 0/200 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/200 [00:05<?, ?it/s, Rew=0.741, Style=0.750, Sem=0.732, KL=0.000]
Epoch 1:  14%|#4        | 28/200 [02:10<13:04,  4.56s/it, Rew=0.585, Style=0.342, Sem=0.829, KL=0.032]
Epoch 1:  14%|#4        | 28/200 [02:14<13:04,  4.56s/it, Rew=0.404, Style=0.232, Sem=0.575, KL=0.008]
Epoch 1:  14%|#4        | 29/200 [02:14<13:01,  4.57s/it, Rew=0.404, Style=0.232, Sem=0.575, KL=0.008]
Epoch 1:  14%|#4        | 29/200 [02:19<13:01,  4.57s/it, Rew=0.738, Style=0.861, Sem=0.614, KL=0.026]
Epoch 1:  15%|#5        | 30/200 [02:19<13:02,  4.60s/it, Rew=0.738, Style=0.861, Sem=0.614, KL=0.026]
Epoch 1:  15%|#5        | 30/200 [02:21<13:02,  4.60s/it, Rew=0.622, Style=0.485, Sem=0.759, KL=0.030]
Epoch 1:  16%|#5        | 31/200 [02:21<10:49,  3.84s/it, Rew=0.622, Style=0.485, Sem=0.759, KL=0.030]
Epoch 1:  16%|#5        | 31/200 [02:26<10:49,  3.84s/it, Rew=0.583, Style=0.454, Sem=0.712, KL=0.042]
Epoch 1:  16%|#6        | 32/200 [02:26<11:33,  4.13s/it, Rew=0.583, Style=0.454, Sem=0.712, KL=0.042]
Epoch 1:  16%|#6        | 32/200 [02:30<11:33,  4.13s/it, Rew=0.593, Style=0.409, Sem=0.776, KL=0.024]
Epoch 1:  16%|#6        | 33/200 [02:30<11:49,  4.25s/it, Rew=0.593, Style=0.409, Sem=0.776, KL=0.024]
Epoch 1:  16%|#6        | 33/200 [02:33<11:49,  4.25s/it, Rew=0.506, Style=0.215, Sem=0.796, KL=0.043]
Epoch 1:  17%|#7        | 34/200 [02:33<10:30,  3.80s/it, Rew=0.506, Style=0.215, Sem=0.796, KL=0.043]
Epoch 1:  17%|#7        | 34/200 [02:37<10:30,  3.80s/it, Rew=0.555, Style=0.291, Sem=0.819, KL=0.056]
Epoch 1:  18%|#7        | 35/200 [02:37<10:39,  3.88s/it, Rew=0.555, Style=0.291, Sem=0.819, KL=0.056]
Epoch 1:  18%|#7        | 35/200 [02:41<10:39,  3.88s/it, Rew=0.465, Style=0.075, Sem=0.854, KL=0.047]
Epoch 1:  18%|#8        | 36/200 [02:41<11:04,  4.05s/it, Rew=0.465, Style=0.075, Sem=0.854, KL=0.047]
Epoch 1:  18%|#8        | 36/200 [02:46<11:04,  4.05s/it, Rew=0.515, Style=0.195, Sem=0.835, KL=0.061]
Epoch 1:  18%|#8        | 37/200 [02:46<11:25,  4.21s/it, Rew=0.515, Style=0.195, Sem=0.835, KL=0.061]
Epoch 1:  18%|#8        | 37/200 [02:51<11:25,  4.21s/it, Rew=0.640, Style=0.480, Sem=0.799, KL=0.064]
Epoch 1:  19%|#9        | 38/200 [02:51<11:41,  4.33s/it, Rew=0.640, Style=0.480, Sem=0.799, KL=0.064]
Epoch 1:  19%|#9        | 38/200 [02:55<11:41,  4.33s/it, Rew=0.539, Style=0.586, Sem=0.491, KL=0.008]
Epoch 1:  20%|#9        | 39/200 [02:55<11:50,  4.42s/it, Rew=0.539, Style=0.586, Sem=0.491, KL=0.008]
Epoch 1:  20%|#9        | 39/200 [03:00<11:50,  4.42s/it, Rew=0.471, Style=0.136, Sem=0.805, KL=0.035]
Epoch 1:  20%|##        | 40/200 [03:00<11:58,  4.49s/it, Rew=0.471, Style=0.136, Sem=0.805, KL=0.035]
Epoch 1:  20%|##        | 40/200 [03:05<11:58,  4.49s/it, Rew=0.558, Style=0.446, Sem=0.670, KL=0.118]
Epoch 1:  20%|##        | 41/200 [03:05<12:01,  4.54s/it, Rew=0.558, Style=0.446, Sem=0.670, KL=0.118]
Epoch 1:  20%|##        | 41/200 [03:07<12:01,  4.54s/it, Rew=0.416, Style=0.044, Sem=0.789, KL=0.076]
Epoch 1:  21%|##1       | 42/200 [03:07<10:12,  3.88s/it, Rew=0.416, Style=0.044, Sem=0.789, KL=0.076]
Epoch 1:  21%|##1       | 42/200 [03:10<10:12,  3.88s/it, Rew=0.484, Style=0.082, Sem=0.885, KL=0.060]
Epoch 1:  22%|##1       | 43/200 [03:10<09:53,  3.78s/it, Rew=0.484, Style=0.082, Sem=0.885, KL=0.060]
