source,as_url,token_ratio,as_tokens,ls_tokens,as_avg_sent_len,ls_avg_sent_len,ner_recall,as_ent_count,ls_ent_count,semantic_similarity,as_lexical_density,ls_lexical_density,as_adj_ratio,ls_adj_ratio,as_noun_ratio,ls_noun_ratio,as_verb_ratio,ls_verb_ratio,as_conj_ratio,ls_conj_ratio
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/dessau/wittenberg/graefenhainichen-unfall-toter-eis-groebener-see-feuerwehr-warnt-100.html,0.75,256,192,10.24,9.142857142857142,0.25,12,9,0.7265399098396301,0.49609375,0.4635416666666667,0.02734375,0.041666666666666664,0.26171875,0.22916666666666666,0.09765625,0.08333333333333333,0.03125,0.03125
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/halle/halle/zecken-fsme-risikogebiet-impfung-100.html,1.0,216,216,14.4,8.0,0.14285714285714285,14,11,0.7284989953041077,0.47685185185185186,0.4675925925925926,0.027777777777777776,0.023148148148148147,0.2638888888888889,0.2824074074074074,0.11574074074074074,0.07407407407407407,0.05092592592592592,0.032407407407407406
mdr,https://www.mdr.de/nachrichten/sachsen/dresden/dresden-radebeul/prozess-saechsische-separatisten-gericht-100.html,0.5334507042253521,568,303,13.853658536585366,8.911764705882353,0.21739130434782608,23,15,0.9160546064376831,0.44190140845070425,0.45874587458745875,0.0528169014084507,0.056105610561056105,0.27464788732394363,0.24752475247524752,0.07570422535211267,0.0924092409240924,0.029929577464788734,0.0165016501650165
mdr,https://www.mdr.de/nachrichten/sachsen/chemnitz/chemnitz-stollberg/congress-hotel-kuendigung-arbeitslos-abfindung-100.html,0.8952879581151832,191,171,13.642857142857142,9.5,0.2727272727272727,11,9,0.7981477379798889,0.4712041884816754,0.49122807017543857,0.04712041884816754,0.04678362573099415,0.2879581151832461,0.27485380116959063,0.07329842931937172,0.08187134502923976,0.015706806282722512,0.029239766081871343
mdr,https://www.mdr.de/nachrichten/thueringen/mitte-thueringen/erfurt/grossbrand-domplatz-silvester-stadt-boellerverbotszone-100.html,0.5274725274725275,273,144,13.65,9.6,0.3,20,13,0.6509076356887817,0.4908424908424908,0.4583333333333333,0.05860805860805861,0.034722222222222224,0.2673992673992674,0.25,0.08791208791208792,0.09722222222222222,0.040293040293040296,0.034722222222222224
mdr,https://www.mdr.de/sport/andere_sportarten/olympia-bob-zweier-francesco-friedrich-cortina-dampezzo-100.html,0.7437722419928826,281,209,14.789473684210526,9.08695652173913,0.17857142857142858,28,27,0.885028600692749,0.5160142348754448,0.4688995215311005,0.05338078291814947,0.05741626794258373,0.33807829181494664,0.3157894736842105,0.08185053380782918,0.06698564593301436,0.028469750889679714,0.03827751196172249
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/nahverkehr-warnstreik-tarif-bus-bahn-110.html,0.3388704318936877,602,204,12.808510638297872,10.736842105263158,0.14893617021276595,47,12,0.7160936594009399,0.526578073089701,0.47058823529411764,0.05813953488372093,0.029411764705882353,0.3156146179401993,0.2696078431372549,0.07308970099667775,0.09313725490196079,0.021594684385382062,0.06862745098039216
mdr,https://www.mdr.de/sport/fussball_1bl/regionalliga-absagen-wochenende-spieltag-winter-100.html,0.8947368421052632,209,187,14.928571428571429,8.130434782608695,0.15,20,11,0.7345726490020752,0.4880382775119617,0.45454545454545453,0.05741626794258373,0.0374331550802139,0.3157894736842105,0.2566844919786096,0.06698564593301436,0.06417112299465241,0.023923444976076555,0.03208556149732621
mdr,https://www.mdr.de/nachrichten/deutschland/wirtschaft/iran-krieg-benzinpreise-spritpreise-oelpreise-gaspreise-erdgas-100.html,0.6023054755043228,694,418,14.458333333333334,10.195121951219512,0.11538461538461539,52,19,0.8984130620956421,0.484149855907781,0.4688995215311005,0.043227665706051875,0.03588516746411483,0.27521613832853026,0.24401913875598086,0.07348703170028818,0.05980861244019139,0.03314121037463977,0.045454545454545456
mdr,https://www.mdr.de/nachrichten/sachsen/dresden/dresden-radebeul/farbwerk-inklusion-tanz-schauspiel-ensemble-kultur-news-100.html,0.18723994452149792,721,135,13.351851851851851,9.0,0.12,25,10,0.3407153785228729,0.4798890429958391,0.4666666666666667,0.06934812760055478,0.037037037037037035,0.24549237170596394,0.2740740740740741,0.08183079056865465,0.06666666666666667,0.041608876560332866,0.04444444444444444
